Category,SubCategory,CatID,CatShort,Explanations,Synonyms - Comma Separated,Category_zh,SubCategory_zh,Synonyms_zh
CERAMICS,IMPACT,CERMImpt,CERM,"Ceramics impacts without breaking, so hits drops, clunks and clinks. See also CERAMICS-BREAK.","hit, drop, impact, crash, clunk, clink",陶瓷,打击,掉落、撞击、碰撞
CERAMICS,MISC,CERMMisc,CERM,Ceramics sounds not fitting another category in this list.,miscellaneous,陶瓷,其他,各种各样的
CERAMICS,MOVEMENT,CERMMvmt,CERM,"Ceramics single or group movement, so dragging, shaking and rattling. See also CERAMICS-HANDLE.","drag, roll, rattle, shake",陶瓷,移动,拖动、滚动、摇晃
CERAMICS,TONAL,CERMTonl,CERM,"Ceramics ringing, as in being bowed.","bowed, ring, shing, ping",陶瓷,音乐性,纯音、 音色、 谐音
CHAINS,BREAK,CHAINBrk,CHAIN,"Chain snapping or breaking, that sharp sound of a chain failing.","snap, break, bend",链条,打破,折断、折断、弯曲
CHAINS,HANDLE,CHAINHndl,CHAIN,"Chain handling, repairing a bike chain, a prisoner moving around in chains. Some overlap with CHAINS-MOVEMENT.","handle, grab, set, pickup, set down, toss, catch",链条,抓取,铁链、自行车链、锁链
CHAINS,IMPACT,CHAINImpt,CHAIN,"Chain impacts, such a big chain hit or slam, or a tension snap of a chain being pulled taut.","drop, hit, impact, slam, tension snaps",链条,打中,跌落、撞击、撞击、猛击、张力断裂
CHAINS,MISC,CHAINMisc,CHAIN,Chain sounds not fitting another category in this list.,miscellaneous,链条,其他,各种各样的
CHAINS,MOVEMENT,CHAINMvmt,CHAIN,"Chain handling, particularly being pulled through pulleys or across surfaces. See also CHAINS-HANDLE.","drag, handcuffs, prison chain, dog chain",链条,移动,手铐、锁链
CHEMICALS,ACID,CHEMAcid,CHEM,"Chemical acid burning and sizzling, bubbling. A vat of acid.","sizzle, melt, fizz",化学,腐蚀,嘶嘶声、融化、法术、魔法
CHEMICALS,MISC,CHEMMisc,CHEM,Chemical sounds not fitting another category in this list.,miscellaneous,化学,其他,各种各样的
CHEMICALS,REACTION,CHEMReac,CHEM,"Chemical reactions, chemistry set, bubbling, foaming, bunsen burner reactions. Overlap perhaps with LIQUID & MUD category.","bubbling, foaming, reaction",化学,反应,冒泡、起泡、反应
CLOCKS,CHIME,CLOCKChim,CLOCK,"Chimes, bells specifically for a clock, Grandfather clock chimes. Alarm clocks would go to ALARMS-CLOCK.","chime, bell, grandfather clock",钟表,风铃,钟声、 树铃
CLOCKS,MECHANICS,CLOCKMech,CLOCK,"Clocks winding, complex mechanical clock mechanisms.","winding, clock gears, cuckoo clock",钟表,机械,绕组、 时钟齿轮、 布谷鸟钟、轮轴
CLOCKS,MISC,CLOCKMisc,CLOCK,Clock sounds not fitting another category in this list. Also see ALARMS-CLOCK,miscellaneous,钟表,其他,各种各样的
CLOCKS,TICK,CLOCKTick,CLOCK,"Analog ticking clocks and watches of all sizes, also mechanical stop watches.","tick, click, quartz, tick tock, stop watch, egg timer",钟表,嘀嗒,滴答、点击、石英、滴答、秒表、鸡蛋计时器
CLOTH,FLAP,CLOTHFlp,CLOTH,"Cloth flapping, as in a flag flapping, or superman's cape. Also ship sails and parachutes.","flap, flag, rustle, parachute, cape, sailcloth, sail, sheet",布料,抖动,翅膀、襟翼、旗帜、沙沙声、降落伞、斗篷、帆布、帆、床单
CLOTH,HANDLE,CLOTHHndl,CLOTH,"Cloth handling, grabbing a jacket, clothy arm grabs, etc. Some overlap with CLOTH-MOVEMENT. See also possibly OBJECTS-FASHION.","handle, grab, set, pickup, set down, toss, catch",布料,抓取,拿衣服、 整理衣服
CLOTH,IMPACT,CLOTHImpt,CLOTH,"Cloth impacts, throwing a jacket forcefully to the floor, a wet towel snap. Some overlap with CLOTH-MOVEMENT possible.","hit, drop, impact, smack",布料,打击,抓衣服、 挠衣服
CLOTH,MISC,CLOTHMisc,CLOTH,Cloth sounds not fitting another category in this list.,miscellaneous,布料,杂项,各种各样的
CLOTH,MOVEMENT,CLOTHMvmt,CLOTH,Varied cloth movement except flapping which has its own category. Variety of cloth movement. Cloth zuzz. See also CLOTH-FLAP.,"zuzz, swish, rustle, ruffle, scrunch, mvmt",布料,移动,嗖嗖、 沙沙声、 皱褶、 摩擦
CLOTH,RIP,CLOTHRip,CLOTH,"Various cloth rips and tears, short to long. Velcro would best fit here too.","rip, tear, velcro",布料,撕扯,撕裂、魔术贴
COMMUNICATIONS,AUDIO VISUAL,COMAv,COM,"Various AV devices such a projector or tape recorder, video cameras here too. Some overlap or confusion with COMMUNICATIONS-CAMERA.","motion picture camera, spooling, film camera, projector, tape recorder, nagra, walkman, CD player, reel to reel, vcr, laserdisc player, betamax, slide projector, beamer, ipod, bolex, 8mm, 16mm",通讯,影视设备,电影摄影机、  胶片相机、 投影仪、 录音机、 磁带机、 随身听、 CD 播放器、 录像机、 播放器、 幻灯机、 ipod、DVD、VCD、蓝光机
COMMUNICATIONS,CAMERA,COMCam,COM,"Still camera shutters, automatic winding, old flash-bulbs. Movie and video cameras to COMMUNICATIONS-AV.","camera shutter, winding, flash bulb, kodak, nikon, canon, olympus, kodak, fuji, fujifilm, mamiya, hasselblad, leica, 35mm, 120mm",通讯,照相机,相机快门、对焦、闪光灯、柯达、尼康、佳能、奥林巴斯、柯达、富士、富士胶片、玛米亚、哈苏、徕卡
COMMUNICATIONS,CELLPHONE,COMCell,COM,"Cellphones and Smartphones., clicks and rings, tones.","mobile phone, smartphone, iphone, blackberry, flip phone, android",通讯,手机,手机、 智能手机、 iphone、 黑莓手机、 翻盖手机、 安卓
COMMUNICATIONS,MICROPHONE,COMMic,COM,Feedback and mic bumps and handling. Megaphones would go here too.,"mic handling, mic tap, larsen, megaphone",通讯,麦克风,麦克风啸叫、麦克风杂音、扩音器
COMMUNICATIONS,MISC,COMMisc,COM,Communication sounds not fitting another category in this list.,miscellaneous,通讯,杂项,各种各样的
COMMUNICATIONS,PHONOGRAPH,COMPhono,COM,"Turntable, Victrola, motors and mechanics. STATIC has its own subcategory here.","turntable, victrola, phonograph, stylus, vinyl record",通讯,留声机,转盘、留声机、 黑胶唱片
COMMUNICATIONS,RADIO,COMRadio,COM,"Tuning, radio and shortwave sounds. STATIC has its own subcategory here. A radio broadcast would go here too. Overlap with VOICES-FUTZED.","tuning, radio, shortwave, squelch, futz, radio broadcast",通讯,收音机,调谐、收音机、短波、白噪、信号、电台、通讯
COMMUNICATIONS,STATIC,COMStatic,COM,"Static from any electronic source, radio, CB, television, optical noise, phonograph noise.","static, fuzz, scramble",通讯,干扰,噪音
COMMUNICATIONS,TELEMETRY,COMTelm,COM,"Fax machine tones, modem tones, telegraph, teletype. UI is it's own category","morse code, telegraph, telemetry, readout, sos",通讯,无线电,莫尔斯电码、电报、遥测、读数、sos
COMMUNICATIONS,TELEPHONE,COMTelph,COM,Old school rotary dial and digital telephones. Technically any telephone that isn't a mobile or cell phone.,"dial, payphone, rotary dial, key pad, landline, cord phone",通讯,电话,拨号、公用电话、旋转拨号、键盘、座机、有线电话
COMMUNICATIONS,TELEVISION,COMTv,COM,"Television programs, on and off, channel changes, TV Remote controls. STATIC has its own subcategory here. A television broadcast would go here too. Overlap with VOICES-FUTZED.","tv, remote, dial, show, program, futz, TV show, broadcast",通讯,电视机,电视、遥控器、拨号、节目、节目、futz
COMMUNICATIONS,TRANSCEIVER,COMTran,COM,"Walkie Talkies, CBs, Ham Radios, all two-way transceivers and radios go here. Put voices into VOICES-FUTZED.","walkie talkies, cb, ham radios, transceiver, squelch, intercom, dispatch",通讯,信号收发机,对讲机、cb、业余无线电、收发器、静噪、对讲、调度
COMMUNICATIONS,TYPEWRITER,COMType,COM,"Old school typewriters, not modern computer keyboards.","typewriter, teleprinter, carriage return, platen knob",通讯,打字机,打字机、电传打字机、回车、压板旋钮
COMPUTERS,HARD DRIVE,CMPTDriv,CMPT,"Laptop or other hard drive seeking sounds, data reading.","skip, search, grind, hard disc, hard disk",电脑,硬盘,跳过、搜索、研磨、硬盘、硬盘
COMPUTERS,KEYBOARD & MOUSE,CMPTKey,CMPT,"Typing on computer keyboard, and mouse movement.","keyboard, mouse, mice, trackpad",电脑,键鼠,键盘、鼠标、鼠标、触控板
COMPUTERS,MISC,CMPTMisc,CMPT,Computer sounds not fitting another category in this list. Printers would go to MACHINES-OFFICE.,"palm pilot, pocket pc",电脑,杂项,掌上电脑、掌上电脑
CREATURES,AQUATIC,CREAAqua,CREA,"Giant mutant squids or sea monsters, kraken, leviathans.","kraken, mermaid, giant squid",生物,水生,海妖、美人鱼、巨型鱿鱼
CREATURES,AVIAN,CREAAvian,CREA,"Alien or Fantasy birds, or weird birdlike creatures. A giant mutant parakeet would go here.","alien birds, extraterrestrial birds, fantasy birds",生物,奇幻禽类,外星鸟类、幻想的鸟类、奇幻鸟类
CREATURES,BEAST,CREABeast,CREA,"Big four legged creatures and beasts. Wooly Mammoth, a mutant elephant, Mumakil.","wooly mammoth, mumakil, ",生物,野兽,猛犸象、长毛象
CREATURES,BLOB,CREABlob,CREA,"Gelatinous and gooey type creatures, gelatinous cube.","blob, gloop, goop",生物,黏体生物,变形怪体、粘稠状的生物
CREATURES,DINOSAUR,CREADino,CREA,"Dinosaurs of all types, Jurassic Park.","brontosaurus, velociraptor, triceratops, stegosaurus, tyrannosaurus, allosaurus, spinosaurus, brachiosaurus, archaeopteryx, pterosaurs, pterodactyl",生物,恐龙,雷龙、 迅猛龙、 三角龙、 剑龙、 暴龙、 异特龙、 棘龙、 腕龙、 始祖鸟、 翼龙、 翼手龙
CREATURES,DRAGON,CREADrgn,CREA,"Game of Thrones, Lord of the Rings, dragons of all types. See also CREATURES-REPTILIAN.","dragon, drake, wyvern",生物,龙,龙、德雷克、飞龙
CREATURES,ELEMENTAL,CREAElem,CREA,"Creatures based on elements, rock giants, fire creatures, ice monsters, such a the Balrog, or a Rock Giant.","rock monster, fire monster, ice monster, rock giant, ice giant, golem",生物,精灵生物,岩石怪物、火怪物、冰怪物、岩石巨人、冰巨人、魔像
CREATURES,ETHEREAL,CREAEthr,CREA,"Ghosts, spirits, ethereal vocals and wispy movement, apparitions.","ghosts, spirits, ethereal, wispy, spectre, soul, apparition, spectral, poltergeist, phantom, wraith",生物,鬼魂,幽灵、鬼魂、空灵的人声、幻影
CREATURES,HUMANOID,CREAHmn,CREA,"Human sized mythical creatures, so zombies and vampires, elves etc. Troll, Ogres, Orcs. Two legged creatures.","zombie, undead, living dead, ghoul, vampire, elf, orcs, ogre, troll, tengu, leprechaun, bigfoot, swamp thing, werewolf, frankenstein, mummy",生物,类人动物,僵尸、亡灵、活死人、食尸鬼、吸血鬼、精灵、兽人、食人魔、巨魔、天狗、妖精、大脚怪、沼泽物、狼人、科学怪人、木乃伊
CREATURES,INSECTOID,CREAInsc,CREA,Giant spiders or other insect like creatures. The creature from The Fly. A giant Tarantula.,"giant ant, giant spider",生物,巨型昆虫,巨型蚂蚁、巨型蜘蛛
CREATURES,MISC,CREAMisc,CREA,Creature sounds not fitting another category in this list.,miscellaneous,生物,其他,不符合列表中分类的其他生物
CREATURES,MONSTER,CREAMnstr,CREA,"Godzilla, scary monsters, horror monsters. See also CREATURES-HUMANOID.","godzilla, king kong, rancor, behemoth, xenomorph, chupacabra",生物,怪兽,哥斯拉、 金刚、 庞然大物、 异形
CREATURES,REPTILIAN,CREARept,CREA,"Giant lizards and snakes, large giant hissing monsters.","serpent, serpentine, giant lizard, giant snake",生物,巨型爬行生物,巨蜥、 巨蛇、 嘶声怪
CREATURES,SMALL,CREASmall,CREA,"Specifically small mythical creatures. Fairies, pixies, small rodent like creatures, etc. Distinguished by small size.","fairy, pixie, gremlin, imp, fraggle",生物,小型神话生物,仙女、小精灵、类啮齿类的小生物
CREATURES,SOURCE,CREASrce,CREA,"Source recordings meant for creature design, like prop recordings, human voice packs for design, etc.","bark, breath, call, caw, squawk, chitter, click, cry, effort, grunt, hiss, howl, growl, snarl, guttural, moan, groan, mouth, roar, scream, screech, squeal, whine",生物,人声包,吠声、呼吸声、呼叫、鸣叫、叽叽喳喳、咔嗒声、哭泣、咕噜声、嘶嘶声、嚎叫声、咆哮声、喉音、呻吟声、用口型默示、咆哮声、尖叫声、长声尖叫、呜呜声
CROWDS,ANGRY,CRWDAngr,CRWD,"Crowds of upset or angry people, as in a riot, protest, a schoolyard fight. See also AMBIENCE-PROTEST.","hooligan, riot, protest, shout, rowdy",人群,愤怒,骚乱、暴动、抗议、校园暴力
CROWDS,APPLAUSE,CRWDApls,CRWD,Crowds where the applause is predominantly featured. Use CROWDS-CHEERING for recordings that are mainly vocals.,"applause, cheer, clapping, encore",人群,喝彩,掌声、欢呼、鼓掌
CROWDS,BATTLE,CRWDBatl,CRWD,"Crowds in battle, fighting, yelling screaming, dying. If including gunfire, explosions. use AMBIENCE-WARFARE.","battle cries, shout, charge, rally, army, battle, scuffle, war, screaming, dying",人群,打斗,战斗呐喊、喊叫、冲锋、集结、军队、战斗、混战、战争、尖叫、死亡
CROWDS,CELEBRATION,CRWDCele,CRWD,"Crowds celebrating holidays, parties, rowdy crowds. If not clean, use AMBIENCE-CELEBRATION.","celebrating, holiday, party, rowdy, birthday, new years, christmas, parade",人群,庆祝,庆祝、节日、派对、喧闹、生日、新年、圣诞节、游行
CROWDS,CHEERING,CRWDCheer,CRWD,"Could include applause, but cheering crowds where the crowd vocals are predominant. Overlap with CROWDS-CELEBRATION.","cheering, concert, stadium, audience, whooping, swells, chants",人群,欢呼,欢呼、音乐会、体育场、观众、欢呼、声浪、颂歌
CROWDS,CHILDREN,CRWDChld,CRWD,"Relatively clean vocals of children together, playing in a playground, in a school classroom, recess, school hallway. See also AMBIENCE-SCHOOL.","playground, recess, kids playing, park, play, tag",人群,儿童,操场、课间休息、孩子们玩耍、公园、玩游戏、捉人游戏
CROWDS,CONVERSATION,CRWDConv,CRWD,"A small enough group chat that you can discern words, smaller and less active than a walla. A chatter.","chatter, chat, talk, sparse walla, converse, conversation",人群,谈话,喋喋不休、聊天、谈话、稀疏的瓦拉、交谈、谈话
CROWDS,LAUGHTER,CRWDLaff,CRWD,"Crowds laughing, a comedy show, canned television laughter, groups of kids laughing, at a party for example.","tv show, canned laughter, comedy club, laugh track",人群,笑,电视节目、罐头笑声、喜剧俱乐部、笑料
CROWDS,LOOP GROUP,CRWDLoop,CRWD,"For loop group type walla, usually performed for or to picture, specific environments, specific callouts. See also ARCHIVED-LOOP GROUP for official loop group recordings.","loop group, adr, canned",人群,循环群杂,循环组、ADR、预录音效
CROWDS,MISC,CRWDMisc,CRWD,Crowd sounds not fitting another category in this list. See also MOVEMENT-CROWD.,miscellaneous,人群,其他,各种各样的
CROWDS,PANIC,CRWDPanic,CRWD,"Distressed crowds, mixed screams and crying and reactions… crowds in a natural disaster or crowds in a giant monster attack...","panic, chaos, shout, scream, cry, distress",人群,恐惧,恐慌、混乱、呐喊、尖叫、哭泣、苦恼
CROWDS,QUIET,CRWDQuiet,CRWD,"Very quiet crowds, mostly mumbling or murmuring. Like crowds whispering in church or a courtroom scene. See also VOICES-WHISPER for single person recordings.","murmur, whispering, hushing, mumbling",人群,安静,喃喃自语、低声细语、嘘寒问暖、喃喃自语
CROWDS,REACTION,CRWDReac,CRWD,"Big Ooos, and Aaahs and Booos, big group responses to events happening. Shocked reactions.","boo, ahh, ooh, studio reaction",人群,反应,嘘、啊、哦
CROWDS,SINGING,CRWDSing,CRWD,"Singing during sporting events, New Year's Eve crowds singing Auld Lang Syne, Christmas carols. Not large choral music, which would go in MUSICAL category.","chant, choir, chorale, carol",人群,歌唱,圣歌、合唱团、合唱团、颂歌
CROWDS,SPORT,CRWDSprt,CRWD,"Clean crowds at sporting events, Baseball, football. For mixed ambience used AMBIENCE-SPORT. A sports chant.","applause, clapping, boo, cheer, stadium, yay, audience, olympics, shouting, woohoo",人群,运动,掌声、鼓掌、嘘声、欢呼声、体育场、耶、观众、奥运会、喊叫、呜呼声
CROWDS,WALLA,CRWDWalla,CRWD,"Specifically very clean crowd walla, with non-discernible words. See also various AMBIENCE categories.","voices, talk, walla, conversation",人群,群杂,声音、谈话、叽里呱啦、谈话
DESIGNED,BASS DIVE,DSGNBass,DSGN,Deep descending bass notes. Bass Drops.,"bass dive, downer, bass drop, fall",声音设计,低频下潜,低音潜水、下滑、低音下降、下沉、 下坠
DESIGNED,BOOM,DSGNBoom,DSGN,"Deep short and tight, low end stingers, big trailer deep hits. LFE type low end sweeteners.","boom, deep hit, low sting, trailer",声音设计,低频轰鸣,砰、重击、低音爆炸、拖车
DESIGNED,BRAAM,DSGNBram,DSGN,"Long deep horn like sounds. Like a War of the World's type long sound, or like a long french horn braam type sound.",bramm,声音设计,低频号角,号角、 铜管乐
DESIGNED,DISTORTION,DSGNDist,DSGN,Particulary distored designed sounds and distortion elements.,"distortion, squared off, distorted",声音设计,失真,失真、扭曲
DESIGNED,DRONE,DSGNDron,DSGN,"Designed drones, eerie tense drones, long stylized sounds with not much activity or movement.","pad, drone, texture, ominous, tension",声音设计,低音氛围,氛围音、嗡嗡声、质地、不吉利、紧张
DESIGNED,EERIE,DSGNErie,DSGN,"Often designed, but tense strange undefined sounds that are eerie, tense, suspenseful. Some overlap with DESIGNED-DRONE possible.","spooky, tense, strange, creepy, scary, chilling, haunting, freaky, frightful, ",声音设计,毛骨悚然的,毛骨悚然、紧张、奇怪、可怕、不寒而栗、难以忘怀、怪异
DESIGNED,ETHEREAL,DSGNEthr,DSGN,"Ethereal wispy designed sounds. Ghostlike whispers, or heavenly tones. Otherworldly. See also DESIGNED-EERIE.","ethereal, celestial",声音设计,鬼魅飘渺,空灵、天上
DESIGNED,GRANULAR,DSGNGran,DSGN,"Granular synthesis, sounds that have a gritty textural type sound, think PaulStretch, sounds broken down into tiny slices and recompiled.","granular, paulstretch, grains, slices",声音设计,粒状,颗粒、 合成器
DESIGNED,IMPACT,DSGNImpt,DSGN,"Designed huge impacts, collisions, stylized big hits. Possible overlap with DESIGNED-STINGER.","impact, hit, slam, smash, collision",声音设计,碰撞,撞击、碰撞、猛击、粉碎
DESIGNED,MISC,DSGNMisc,DSGN,Designed sounds not fitting another category in this list.,miscellaneous,声音设计,其他,各种各样的
DESIGNED,MORPH,DSGNMorph,DSGN,"A stylized blending of elements, something transitioning into another thing.","morph, blend, transition",声音设计,合成器,合成器、混合、过渡
DESIGNED,RISER,DSGNRise,DSGN,"Tension risers, things rising in tone, something similar to a rising string line to create tension.","reverse, crescendo, rizer, riser, tension",声音设计,渐强,反向、渐强、立管、张力
DESIGNED,RUMBLE,DSGNRmbl,DSGN,Designed rumbles for layering into a mix. Earthquake rumbles. Composite rumble.,"subharmonic, rumble, shake, earthquake",声音设计,次声波,次谐波、隆隆声、震动、地震
DESIGNED,RHYTHMIC,DSGNRythm,DSGN,"Stattaco or glitchy machine type loops, things with definied starts, stops, rhythmic stutters.","stutter, glitch, pulse, stattaco",声音设计,节奏性,口吃、故障、节奏律动、停顿
DESIGNED,SOURCE,DSGNSrce,DSGN,"For recordings meant to be used as source for other designed sounds, experimental recordings, elements, etc.","source, raw, material, raw recording",声音设计,原始录音,来源、原始素材、素材、原始录音
DESIGNED,STINGER,DSGNStngr,DSGN,"Stings, stylized screen sweeteners. Big trailer type sounds. Big shock scare type sounds. Stylized stings, hits and impacts. Overlap with DESIGNED-IMPACT.","sting, startle, trailer, cinematic",声音设计,重音强调,刺痛、惊吓、预告片、戏剧化
DESIGNED,SYNTHETIC,DSGNSynth,DSGN,"Very synthesized sounds, very electronic synth stuff. Raw work files of synth-play.","synthesized, synth, mod synth, modular synth, granular, analog synth, modular synth",声音设计,电子合成,合成、合成器、模块化合成器、颗粒状、模拟合成器、模块化合成器
DESIGNED,TONAL,DSGNTonl,DSGN,Designed sounds with a particularly tonal nature. The ringing in your ear of tinnitus for example.,"tinnitus, ringing, shell shock, subjective",声音设计,音乐性,耳鸣、炮击、主观视角
DESIGNED,VOCAL,DSGNVocl,DSGN,"Design specifically around vocals, ghostly whispers, enchanted spells, reversed talking etc. Not for Creatures.","enchantment, spell, processed, vocal, whisper, ghostly",声音设计,人声,魔法、咒语、经过处理的、人声、耳语、幽灵
DESIGNED,WHOOSH,DSGNWhsh,DSGN,"Stylized designed big whooshes, definite possible overlap confusion with SHOOSHES-WHOOSH, but this for less natural and more stylized versions.","whoosh, trailer swish, swish",声音设计,呼声,嗖嗖、預告片中的嗖嗖、 飞过、 划过
DESTRUCTION,COLLAPSE,DESTRClpse,DESTR,"Buildings and large mixed complex collapses, a barn collapse, Godzilla pushing over a building.","collapse, topple, fell, implode",拆除,倒塌,倒塌、倾倒、跌倒、内爆
DESTRUCTION,CRASH & DEBRIS,DESTRCrsh,DESTR,"Mixed crashes, complex crashes involving more than one material. So a combo huge glass and metal crash. See also individual material categories like METAL, WOOD etc.","crash, rupture, implode, smash, break, shatter",拆除,碎片,崩溃、破裂、内爆、粉碎、打破、粉碎
DESTRUCTION,MISC,DESTRMisc,DESTR,Destruction sounds not fitting another category in this list.,miscellaneous,拆除,其他,各种各样的
DIRT & SAND,CRASH & DEBRIS,DIRTCrsh,DIRT,"Dirt or sand settling, as in after an explosion, big sprays of dirt and sand. DUST has its own subcategory.","debris, sand, dirt, trickle, spray, crumble",沙土,碎屑,碎片、沙子、污垢、滴流、喷洒、碎裂
DIRT & SAND,DUST,DIRTDust,DIRT,"Settling dust, dust clouds, much lighter sound than DIRT & SAND-DEBRIS","fine, particle, sediment, silt, dust",沙土,灰尘,细粒、颗粒、沉积物、淤泥、灰尘
DIRT & SAND,HANDLE,DIRTHndl,DIRT,"Handling dirt & sand, hands digging through dirt, children making a sand castle. Some overlap with DIRT & SAND-MOVEMENT.","handle, grab, dig, catch",沙土,抓取,处理、抓取、挖掘、捕捉
DIRT & SAND,IMPACT,DIRTImpt,DIRT,"Big hits and impacts of dirt of sand, dirt clods. Think the huge dirt ball impacts in WHERE THE WILD THINGS ARE.","dump, thud, unload, drop",沙土,碰撞,倾倒、 砰、 卸下、 放下
DIRT & SAND,MISC,DIRTMisc,DIRT,"Dirt, Sand and Earth sounds not fitting another category in this list.",miscellaneous,沙土,其他,各种各样的
DIRT & SAND,MOVEMENT,DIRTMvmt,DIRT,"Pouring, flowing of dirt or sand, a big sand pour. See also DIRT & SAND-HANDLE.","pour, unload, flow, spill",沙土,移动,倾倒、卸载、流动、溢出
DIRT & SAND,TONAL,DIRTTonl,DIRT,Singing sand dunes. Probably pretty rare.,"sand dunes, singing sands",沙土,音乐性,风沙、鸣沙
DOORS,ANTIQUE,DOORAntq,DOOR,"Very old sounding doors, as in an old castle or abbey. But massive doors of this type probably to DOOR-DUNGEON.","castle, abby, church, old, ancient, antique",门,古董,城堡、大教堂、教堂、古老、古代、古董
DOORS,APPLIANCE,DOORAppl,DOOR,"Appliance doors such as oven, dishwasher, refrigerator or microwave.","oven, microwave, refrigerator, dishwasher, laundry machine, dryer",门,家电,烤箱、微波炉、冰箱、洗碗机、洗衣机、烘干机
DOORS,CABINET,DOORCab,DOOR,"Cabinet doors, such as kitchen cabinet, tool cabinets.","cabinet, kitchen cabinet, tool cabinet",门,箱柜,橱柜、厨柜、工具柜
DOORS,COMPOSITE,DOORComp,DOOR,"Fiberglass, wood steel combination, doors that don't sound like a specific material. A modern front door. Some confusion or overlap with DOORS-WOOD likely.","fiberglass, door",门,特殊材料,玻璃纤维、门
DOORS,CREAK,DOORCreak,DOOR,"Door creaks, wood or metal, overlap with WOOD-FRICTION and METAL-FRICTION, but specifically door creaks.","creak, door, dungeon, cellar, castle, wood door, metal door, door creak",门,嘎吱,吱吱声、门、地牢、地窖、城堡、木门、金属门、门吱吱声
DOORS,DUNGEON,DOORDungn,DOOR,"That big old classic wood and/or metal heavy dungeon, castle type door.","castle, dungeon, large, cellar",门,传统大门,城堡、 地牢、 巨物、 地窖
DOORS,ELECTRIC,DOORElec,DOOR,"Electric doors of all kinds, garage doors, big soundstage doors, sliding store doors. See also DOORS-REVOLVING.","electric door, garage door, soundstage door, automatic door",门,电动门,电动门、车库门、摄影棚门、自动门
DOORS,GATE,DOORGate,DOOR,"Non-motorized gates, metal or wood. So a garden gate, a park gate. A farm gate.","garden gate, fence gate, park gate, rail crossing, cattle gate, farm gate",门,大门,花园门、栅栏门、公园门、铁路道口、牛圈门、农场门
DOORS,GLASS,DOORGlas,DOOR,"Glass doors, manual shopping store doors, glass home front doors. Most store doors would probably fit here.","glass door, store door, bay door, french door",门,玻璃门,玻璃门、商店门、海涯门、法式门
DOORS,HARDWARE,DOORHdwr,DOOR,"Door knobs, door locks, deadbolts, chain locks, push bars. Lock Picking, Doorknob Jiggles.","doorknob, deadbolt, push bar, chain lock, hinge, latch, handle, hardware, lock picking, jiggle",门,锁具,门把手、门闩、推杆、链锁、铰链、把手、五金制品、撬锁、摇晃
DOORS,HITECH,DOORTech,DOOR,"James bond type doors, something not quite sci-fi but more advanced, Modern lab, or air sealed chamber, vaults. See also SCIFI-DOOR.",lab door,门,高科技,实验室门
DOORS,HYDRAULIC & PNEUMATIC,DOORHydr,DOOR,"Self closing doors, lots of office and store doors are of this type. Also automatic doors if hydraulic or pneumatic.","door closer, pneumatic, hydraulic, powered hatch",门,液压与气动,闭门器、气动、液压、电动舱口、 气阀门
DOORS,KNOCK,DOORKnck,DOOR,Knocking on various door surfaces.,"knock, rap, knocker, bang, thud, thump",门,敲门,敲、说唱、敲门、砰砰、咚咚
DOORS,METAL,DOORMetl,DOOR,"Metal doors, like a vault door or heavy door. PRISON doors have their own category, as they are quite specific sounding.","rollup, vault, safe, hatch",门,金属门,卷轴门、保险库、保险箱、舱门
DOORS,MISC,DOORMisc,DOOR,Door sounds not fitting another category in this list.,miscellaneous,门,其他,各种各样的
DOORS,PLASTIC,DOORPlas,DOOR,Doors made out of plastic. Not very common but maybe a door to a child's play house.,"porta john, porta let, porta pottie",门,塑料门,厕所、便器
DOORS,PRISON,DOORPrisn,DOOR,"Big metal jail and prison doors. Sliding prison doors, or swinging jail doors.","jail door, prison door",门,牢门,监狱门、栅栏门
DOORS,REVOLVING,DOORRevl,DOOR,"Classic revolving doors used as entries to hotels, banks, malls.","revolve, rotate, revolving door, hotel, airport, mall",门,旋转门,旋转门、酒店、机场、商场
DOORS,SLIDING,DOORSlid,DOOR,"Manual sliding doors, such as a patio door, sliding shower doors. Electric sliding doors to DOORS-ELECTRIC.","sliding glass door, patio door, shower door",门,推拉门/滑动门,玻璃推拉门、庭院门、淋浴门
DOORS,STONE,DOORSton,DOOR,"Mostly a fantasy type door, but think Gates of Moria, big tombstone vault doors.","tomb, crypt, temple, mausoleum, secret entrance",门,石门,坟墓、地穴、寺庙、陵墓、秘密入口
DOORS,SWINGING,DOORSwng,DOOR,"Swinging doors, like old-west saloon or church pulpit doors. Doors on swinging springs.","saloon door, traffic door, restaurant door, church pulpit door",门,双开门,沙龙门、走廊门、餐厅门、教堂讲坛门
DOORS,WOOD,DOORWood,DOOR,"Wood doors, home, school, most general door category probably.","entrance, front door, closet",门,木门,入口、前门、壁橱
DRAWERS,METAL,DRWRMetl,DRWR,Metal drawers like on a toolbox.,"tool box, rack drawer, filing cabinet, cash register, security drawer",抽屉,金属,工具箱、抽屉架、文件柜、收银机、安全抽屉
DRAWERS,MISC,DRWRMisc,DRWR,Drawer sounds not fitting another category in this list.,miscellaneous,抽屉,其他,各种各样的
DRAWERS,PLASTIC,DRWRPlas,DRWR,"Plastic drawers, maybe on a parts bin.","parts bin, desk organizer",抽屉,塑料,零件箱、桌面整理器
DRAWERS,WOOD,DRWRWood,DRWR,"Kitchen drawers, bathroom drawers. Most drawers would probably fall into this category.","kitchen drawer, bathroom drawer",抽屉,木制,厨房抽屉、浴室抽屉
